time,value
6.49,0.00195486
6.5,0.00195207
6.51,0.00194927
6.52,0.00194648
6.53,0.0019437
6.54,0.00194091
6.55,0.00193814
6.56,0.00193536
6.57,0.00193259
6.58,0.00192983
6.59,0.00192707
6.6,0.00192431
6.61,0.00192155
6.62,0.0019188
6.63,0.00191606
6.64,0.00191331
6.65,0.00191058
6.66,0.00190784
6.67,0.00190511
6.68,0.00190238
6.69,0.00189966
6.7,0.00189694
6.71,0.00189423
6.72,0.00189152
6.73,0.00188881
6.74,0.00188611
6.75,0.00188341
6.76,0.00188071
6.77,0.00187802
6.78,0.00187533
6.79,0.00187265
6.8,0.00186997
6.81,0.00186729
6.82,0.00186462
6.83,0.00186195
6.84,0.00185929
6.85,0.00185663
6.86,0.00185397
6.87,0.00185131
6.88,0.00184867
6.89,0.00184602
6.9,0.00184338
6.91,0.00184074
6.92,0.0018381
6.93,0.00183547
6.94,0.00183285
6.95,0.00183022
6.96,0.0018276
6.97,0.00182499
6.98,0.00182238
6.99,0.00181977
7,0.00181716
7.01,0.00181456
7.02,0.00181197
7.03,0.00180937
7.04,0.00180678
7.05,0.0018042
7.06,0.00180162
7.07,0.00179904
7.08,0.00179646
7.09,0.00179389
7.1,0.00179132
7.11,0.00178876
7.12,0.0017862
7.13,0.00178364
7.14,0.00178109
7.15,0.00177854
7.16,0.001776
7.17,0.00177345
7.18,0.00177092
7.19,0.00176838
7.2,0.00176585
7.21,0.00176332
7.22,0.0017608
7.23,0.00175828
7.24,0.00175576
7.25,0.00175325
7.26,0.00175074
7.27,0.00174824
7.28,0.00174573
7.29,0.00174323
7.3,0.00174074
7.31,0.00173825
7.32,0.00173576
7.33,0.00173328
7.34,0.0017308
7.35,0.00172832
7.36,0.00172585
7.37,0.00172338
7.38,0.00172091
7.39,0.00171845
7.4,0.00171599
7.41,0.00171353
7.42,0.00171108
7.43,0.00170863
7.44,0.00170618
7.45,0.00170374
7.46,0.0017013
7.47,0.00169887
7.48,0.00169644
7.49,0.00169401
7.5,0.00169158
7.51,0.00168916
7.52,0.00168675
7.53,0.00168433
7.54,0.00168192
7.55,0.00167951
7.56,0.00167711
7.57,0.00167471
7.58,0.00167231
7.59,0.00166992
7.6,0.00166753
7.61,0.00166514
7.62,0.00166276
7.63,0.00166038
7.64,0.001658
7.65,0.00165563
7.66,0.00165326
7.67,0.0016509
7.68,0.00164853
7.69,0.00164617
7.7,0.00164382
7.71,0.00164146
7.72,0.00163912
7.73,0.00163677
7.74,0.00163443
7.75,0.00163209
7.76,0.00162975
7.77,0.00162742
7.78,0.00162509
7.79,0.00162276
7.8,0.00162044
7.81,0.00161812
7.82,0.00161581
7.83,0.00161349
7.84,0.00161118
7.85,0.00160888
7.86,0.00160658
7.87,0.00160428
7.88,0.00160198
7.89,0.00159969
7.9,0.0015974
7.91,0.00159511
7.92,0.00159283
7.93,0.00159055
7.94,0.00158827
7.95,0.001586
7.96,0.00158373
7.97,0.00158146
7.98,0.0015792
7.99,0.00157694
8,0.00157468
8.01,0.00157243
8.02,0.00157018
8.03,0.00156793
8.04,0.00156569
8.05,0.00156345
8.06,0.00156121
8.07,0.00155898
8.08,0.00155674
8.09,0.00155452
8.1,0.00155229
8.11,0.00155007
8.12,0.00154785
8.13,0.00154564
8.14,0.00154342
8.15,0.00154121
8.16,0.00153901
8.17,0.00153681
8.18,0.00153461
8.19,0.00153241
8.2,0.00153022
8.21,0.00152803
8.22,0.00152584
8.23,0.00152366
8.24,0.00152148
8.25,0.0015193
8.26,0.00151712
8.27,0.00151495
8.28,0.00151278
8.29,0.00151062
8.3,0.00150846
8.31,0.0015063
8.32,0.00150414
8.33,0.00150199
8.34,0.00149984
8.35,0.00149769
8.36,0.00149555
8.37,0.00149341
8.38,0.00149127
8.39,0.00148914
8.4,0.00148701
8.41,0.00148488
8.42,0.00148275
8.43,0.00148063
8.44,0.00147851
8.45,0.0014764
8.46,0.00147428
8.47,0.00147217
8.48,0.00147007
8.49,0.00146796
8.5,0.00146586
8.51,0.00146376
8.52,0.00146167
8.53,0.00145958
8.54,0.00145749
8.55,0.0014554
8.56,0.00145332
8.57,0.00145124
8.58,0.00144916
8.59,0.00144709
8.6,0.00144502
8.61,0.00144295
8.62,0.00144088
8.63,0.00143882
8.64,0.00143676
8.65,0.00143471
8.66,0.00143265
8.67,0.0014306
8.68,0.00142855
8.69,0.00142651
8.7,0.00142447
8.71,0.00142243
8.72,0.00142039
8.73,0.00141836
8.74,0.00141633
8.75,0.0014143
8.76,0.00141228
8.77,0.00141026
8.78,0.00140824
8.79,0.00140622
8.8,0.00140421
8.81,0.0014022
8.82,0.0014002
8.83,0.00139819
8.84,0.00139619
8.85,0.00139419
8.86,0.0013922
8.87,0.0013902
8.88,0.00138821
8.89,0.00138623
8.9,0.00138424
8.91,0.00138226
8.92,0.00138028
8.93,0.00137831
8.94,0.00137634
8.95,0.00137437
8.96,0.0013724
8.97,0.00137043
8.98,0.00136847
8.99,0.00136652
9,0.00136456
9.01,0.00136261
9.02,0.00136066
9.03,0.00135871
9.04,0.00135676
9.05,0.00135482
9.06,0.00135288
9.07,0.00135095
9.08,0.00134901
9.09,0.00134708
9.1,0.00134515
9.11,0.00134323
9.12,0.00134131
9.13,0.00133939
9.14,0.00133747
9.15,0.00133556
9.16,0.00133365
9.17,0.00133174
9.18,0.00132983
9.19,0.00132793
9.2,0.00132603
9.21,0.00132413
9.22,0.00132223
9.23,0.00132034
9.24,0.00131845
9.25,0.00131656
9.26,0.00131468
9.27,0.0013128
9.28,0.00131092
9.29,0.00130904
9.3,0.00130717
9.31,0.0013053
9.32,0.00130343
9.33,0.00130157
9.34,0.0012997
9.35,0.00129784
9.36,0.00129599
9.37,0.00129413
9.38,0.00129228
9.39,0.00129043
9.4,0.00128858
9.41,0.00128674
9.42,0.0012849
9.43,0.00128306
9.44,0.00128122
9.45,0.00127939
9.46,0.00127756
9.47,0.00127573
9.48,0.0012739
9.49,0.00127208
9.5,0.00127026
9.51,0.00126844
9.52,0.00126662
9.53,0.00126481
9.54,0.001263
9.55,0.00126119
9.56,0.00125939
9.57,0.00125759
9.58,0.00125579
9.59,0.00125399
9.6,0.00125219
9.61,0.0012504
9.62,0.00124861
9.63,0.00124683
9.64,0.00124504
9.65,0.00124326
9.66,0.00124148
9.67,0.0012397
9.68,0.00123793
9.69,0.00123616
9.7,0.00123439
9.71,0.00123262
9.72,0.00123086
9.73,0.0012291
9.74,0.00122734
9.75,0.00122558
9.76,0.00122383
9.77,0.00122207
9.78,0.00122033
9.79,0.00121858
9.8,0.00121684
9.81,0.00121509
9.82,0.00121335
9.83,0.00121162
9.84,0.00120988
9.85,0.00120815
9.86,0.00120642
9.87,0.0012047
9.88,0.00120297
9.89,0.00120125
9.9,0.00119953
9.91,0.00119781
9.92,0.0011961
9.93,0.00119439
9.94,0.00119268
9.95,0.00119097
9.96,0.00118927
9.97,0.00118757
9.98,0.00118587
9.99,0.00118417
