time,value
5.07,-1.67837e+69
5.08,2.30725e+69
5.09,-3.17178e+69
5.1,4.36025e+69
5.11,-5.99404e+69
5.12,8.24001e+69
5.13,-1.13275e+70
5.14,1.5572e+70
5.15,-2.14068e+70
5.16,2.9428e+70
5.17,-4.04546e+70
5.18,5.5613e+70
5.19,-7.64513e+70
5.2,1.05098e+71
5.21,-1.44478e+71
5.22,1.98614e+71
5.23,-2.73035e+71
5.24,3.75341e+71
5.25,-5.15981e+71
5.26,7.0932e+71
5.27,-9.75102e+71
5.28,1.34047e+72
5.29,-1.84275e+72
5.3,2.53323e+72
5.31,-3.48243e+72
5.32,4.78731e+72
5.33,-6.58111e+72
5.34,9.04706e+72
5.35,-1.2437e+73
5.36,1.70972e+73
5.37,-2.35035e+73
5.38,3.23102e+73
5.39,-4.44169e+73
5.4,6.106e+73
5.41,-8.39392e+73
5.42,1.15391e+74
5.43,-1.58628e+74
5.44,2.18067e+74
5.45,-2.99776e+74
5.46,4.12103e+74
5.47,-5.66518e+74
5.48,7.78793e+74
5.49,-1.07061e+75
5.5,1.47177e+75
5.51,-2.02324e+75
5.52,2.78134e+75
5.53,-3.82352e+75
5.54,5.25619e+75
5.55,-7.22569e+75
5.56,9.93316e+75
5.57,-1.36551e+76
5.58,1.87717e+76
5.59,-2.58055e+76
5.6,3.54748e+76
5.61,-4.87673e+76
5.62,6.70404e+76
5.63,-9.21605e+76
5.64,1.26693e+77
5.65,-1.74165e+77
5.66,2.39425e+77
5.67,-3.29138e+77
5.68,4.52466e+77
5.69,-6.22005e+77
5.7,8.55071e+77
5.71,-1.17547e+78
5.72,1.61592e+78
5.73,-2.2214e+78
5.74,3.05376e+78
5.75,-4.19801e+78
5.76,5.771e+78
5.77,-7.9334e+78
5.78,1.09061e+79
5.79,-1.49926e+79
5.8,2.06103e+79
5.81,-2.8333e+79
5.82,3.89494e+79
5.83,-5.35437e+79
5.84,7.36066e+79
5.85,-1.01187e+80
5.86,1.39102e+80
5.87,-1.91224e+80
5.88,2.62875e+80
5.89,-3.61375e+80
5.9,4.96782e+80
5.91,-6.82927e+80
5.92,9.3882e+80
5.93,-1.2906e+81
5.94,1.77418e+81
5.95,-2.43897e+81
5.96,3.35286e+81
5.97,-4.60917e+81
5.98,6.33624e+81
5.99,-8.71043e+81
6,1.19742e+82
6.01,-1.6461e+82
6.02,2.26289e+82
6.03,-3.1108e+82
6.04,4.27642e+82
6.05,-5.8788e+82
6.06,8.08159e+82
6.07,-1.11098e+83
6.08,1.52726e+83
6.09,-2.09953e+83
6.1,2.88622e+83
6.11,-3.96769e+83
6.12,5.45439e+83
6.13,-7.49815e+83
6.14,1.03077e+84
6.15,-1.417e+84
6.16,1.94795e+84
6.17,-2.67785e+84
6.18,3.68125e+84
6.19,-5.06061e+84
6.2,6.95683e+84
6.21,-9.56356e+84
6.22,1.3147e+85
6.23,-1.80732e+85
6.24,2.48453e+85
6.25,-3.41548e+85
6.26,4.69527e+85
6.27,-6.45459e+85
6.28,8.87313e+85
6.29,-1.21979e+86
6.3,1.67685e+86
6.31,-2.30516e+86
6.32,3.16891e+86
6.33,-4.3563e+86
6.34,5.98861e+86
6.35,-8.23254e+86
6.36,1.13173e+87
6.37,-1.55579e+87
6.38,2.13874e+87
6.39,-2.94013e+87
6.4,4.0418e+87
6.41,-5.55627e+87
6.42,7.63821e+87
6.43,-1.05002e+88
6.44,1.44347e+88
6.45,-1.98434e+88
6.46,2.72787e+88
6.47,-3.75001e+88
6.48,5.15514e+88
6.49,-7.08678e+88
6.5,9.7422e+88
6.51,-1.33926e+89
6.52,1.84108e+89
6.53,-2.53094e+89
6.54,3.47928e+89
6.55,-4.78297e+89
6.56,6.57515e+89
6.57,-9.03887e+89
6.58,1.24257e+90
6.59,-1.70817e+90
6.6,2.34822e+90
6.61,-3.2281e+90
6.62,4.43767e+90
6.63,-6.10047e+90
6.64,8.38632e+90
6.65,-1.15287e+91
6.66,1.58485e+91
6.67,-2.17869e+91
6.68,2.99505e+91
6.69,-4.1173e+91
6.7,5.66005e+91
6.71,-7.78088e+91
6.72,1.06964e+92
6.73,-1.47043e+92
6.74,2.0214e+92
6.75,-2.77883e+92
6.76,3.82006e+92
6.77,-5.25143e+92
6.78,7.21915e+92
6.79,-9.92417e+92
6.8,1.36428e+93
6.81,-1.87547e+93
6.82,2.57821e+93
6.83,-3.54427e+93
6.84,4.87231e+93
6.85,-6.69797e+93
6.86,9.20771e+93
6.87,-1.26578e+94
6.88,1.74007e+94
6.89,-2.39208e+94
6.9,3.2884e+94
6.91,-4.52056e+94
6.92,6.21442e+94
6.93,-8.54297e+94
6.94,1.1744e+95
6.95,-1.61445e+95
6.96,2.21939e+95
6.97,-3.051e+95
6.98,4.19421e+95
6.99,-5.76578e+95
7,7.92622e+95
7.01,-1.08962e+96
7.02,1.4979e+96
7.03,-2.05916e+96
7.04,2.83073e+96
7.05,-3.89141e+96
7.06,5.34952e+96
7.07,-7.354e+96
7.08,1.01095e+97
7.09,-1.38976e+97
7.1,1.9105e+97
7.11,-2.62637e+97
7.12,3.61047e+97
7.13,-4.96332e+97
7.14,6.82308e+97
7.15,-9.3797e+97
7.16,1.28943e+98
7.17,-1.77258e+98
7.18,2.43676e+98
7.19,-3.34982e+98
7.2,4.605e+98
7.21,-6.3305e+98
7.22,8.70254e+98
7.23,-1.19634e+99
7.24,1.64461e+99
7.25,-2.26084e+99
7.26,3.10798e+99
7.27,-4.27255e+99
7.28,5.87348e+99
7.29,-8.07427e+99
7.3,1.10997e+100
7.31,-1.52588e+100
7.32,2.09763e+100
7.33,-2.88361e+100
7.34,3.9641e+100
7.35,-5.44945e+100
7.36,7.49136e+100
7.37,-1.02984e+101
7.38,1.41572e+101
7.39,-1.94619e+101
7.4,2.67543e+101
7.41,-3.67791e+101
7.42,5.05603e+101
7.43,-6.95053e+101
7.44,9.5549e+101
7.45,-1.31351e+102
7.46,1.80569e+102
7.47,-2.48228e+102
7.48,3.41239e+102
7.49,-4.69102e+102
7.5,6.44875e+102
7.51,-8.8651e+102
7.52,1.21869e+103
7.53,-1.67533e+103
7.54,2.30307e+103
7.55,-3.16604e+103
7.56,4.35236e+103
7.57,-5.98319e+103
7.58,8.22509e+103
7.59,-1.1307e+104
7.6,1.55438e+104
7.61,-2.13681e+104
7.62,2.93747e+104
7.63,-4.03814e+104
7.64,5.55124e+104
7.65,-7.63129e+104
7.66,1.04907e+105
7.67,-1.44216e+105
7.68,1.98254e+105
7.69,-2.7254e+105
7.7,3.74661e+105
7.71,-5.15047e+105
7.72,7.08036e+105
7.73,-9.73338e+105
7.74,1.33805e+106
7.75,-1.83942e+106
7.76,2.52865e+106
7.77,-3.47613e+106
7.78,4.77864e+106
7.79,-6.5692e+106
7.8,9.03069e+106
7.81,-1.24145e+107
7.82,1.70662e+107
7.83,-2.34609e+107
7.84,3.22518e+107
7.85,-4.43365e+107
7.86,6.09495e+107
7.87,-8.37873e+107
7.88,1.15182e+108
7.89,-1.58341e+108
7.9,2.17672e+108
7.91,-2.99234e+108
7.92,4.11357e+108
7.93,-5.65493e+108
7.94,7.77384e+108
7.95,-1.06867e+109
7.96,1.4691e+109
7.97,-2.01957e+109
7.98,2.77631e+109
7.99,-3.8166e+109
8,5.24668e+109
8.01,-7.21261e+109
8.02,9.91518e+109
8.03,-1.36304e+110
8.04,1.87377e+110
8.05,-2.57588e+110
8.06,3.54106e+110
8.07,-4.8679e+110
8.08,6.69191e+110
8.09,-9.19937e+110
8.1,1.26464e+111
8.11,-1.7385e+111
8.12,2.38992e+111
8.13,-3.28542e+111
8.14,4.51647e+111
8.15,-6.20879e+111
8.16,8.53523e+111
8.17,-1.17334e+112
8.18,1.61299e+112
8.19,-2.21738e+112
8.2,3.04823e+112
8.21,-4.19041e+112
8.22,5.76056e+112
8.23,-7.91904e+112
8.24,1.08863e+113
8.25,-1.49654e+113
8.26,2.0573e+113
8.27,-2.82817e+113
8.28,3.88789e+113
8.29,-5.34468e+113
8.3,7.34734e+113
8.31,-1.01004e+114
8.32,1.3885e+114
8.33,-1.90877e+114
8.34,2.62399e+114
8.35,-3.60721e+114
8.36,4.95883e+114
8.37,-6.8169e+114
8.38,9.3712e+114
